[2023-08-05T04:03:47+0000] [PACMAN] Running '/usr/sbin/pacman -r /var/work/lqs_releng/aarch64/airootfs -Sy --config=/var/work/lqs_releng/iso.pacman.conf --noconfirm alsa-utils amd-ucode arch-install-scripts archinstall b43-fwcutter base bind-tools brltty btrfs-progs clonezilla crda cryptsetup darkhttpd ddrescue dhclient dhcpcd diffutils dmraid dnsmasq dosfstools e2fsprogs espeakup ethtool exfatprogs f2fs-tools fatresize fsarchiver gnu-netcat gpart gpm gptfdisk grml-zsh-config hdparm irssi iw iwd jfsutils kitty-terminfo less lftp libfido2 libusb-compat linux-aarch64 linux-atm linux-firmware livecd-sounds lsscsi lynx man-db man-pages mc mkinitcpio mkinitcpio-archiso mkinitcpio-nfs-utils modemmanager mtools nano nbd ndisc6 nfs-utils nilfs-utils nmap ntfs-3g nvme-cli openconnect openssh openvpn partclone parted partimage pcsclite ppp pptpclient pv qemu-guest-agent qemu-img reiserfsprogs rp-pppoe rsync rxvt-unicode-terminfo screen sdparm sg3_utils smartmontools sof-firmware squashfs-tools sudo systemd-resolvconf tcpdump terminus-font testdisk tmux tpm2-tss udftools usb_modeswitch usbmuxd usbutils vim vpnc wireless-regdb wireless_tools wpa_supplicant wvdial xfsprogs xl2tpd zsh util-linux lvm2 mdadm efibootmgr'
[2023-08-05T04:03:47+0000] [PACMAN] synchronizing package lists
[2023-08-05T04:08:00+0000] [ALPM] transaction started
[2023-08-05T04:08:01+0000] [ALPM] installed linux-api-headers (6.4-1)
[2023-08-05T04:08:01+0000] [ALPM] installed tzdata (2023c-2)
[2023-08-05T04:08:01+0000] [ALPM] installed iana-etc (20230629-1)
[2023-08-05T04:08:01+0000] [ALPM] warning: /var/work/lqs_releng/aarch64/airootfs/etc/shadow installed as /var/work/lqs_releng/aarch64/airootfs/etc/shadow.pacnew
[2023-08-05T04:08:01+0000] [ALPM] installed filesystem (2023.01.31-1)
[2023-08-05T04:08:04+0000] [ALPM] installed glibc (2.35-5.1)
[2023-08-05T04:08:10+0000] [ALPM] installed gcc-libs (12.1.0-2.1)
[2023-08-05T04:08:11+0000] [ALPM] installed hwdata (0.372-1)
[2023-08-05T04:08:11+0000] [ALPM] installed zlib (1:1.2.13-3)
[2023-08-05T04:08:13+0000] [ALPM] installed openssl (3.1.2-1)
[2023-08-05T04:08:14+0000] [ALPM] installed ncurses (6.4_20230520-1)
[2023-08-05T04:08:14+0000] [ALPM] installed readline (8.2.001-2)
[2023-08-05T04:08:14+0000] [ALPM] installed bash (5.1.016-4)
[2023-08-05T04:08:14+0000] [ALPM] installed xz (5.4.3-1)
[2023-08-05T04:08:14+0000] [ALPM] installed lz4 (1:1.9.4-1)
[2023-08-05T04:08:14+0000] [ALPM] installed zstd (1.5.5-1)
[2023-08-05T04:08:14+0000] [ALPM] installed kmod (30-3)
[2023-08-05T04:08:14+0000] [ALPM] installed pciutils (3.10.0-1)
[2023-08-05T04:08:14+0000] [ALPM] installed psmisc (23.6-1)
[2023-08-05T04:08:14+0000] [ALPM] installed alsa-topology-conf (1.2.5.1-3)
[2023-08-05T04:08:15+0000] [ALPM] installed alsa-ucm-conf (1.2.9-1)
[2023-08-05T04:08:15+0000] [ALPM] installed alsa-lib (1.2.9-1)
[2023-08-05T04:08:15+0000] [ALPM] installed libsamplerate (0.2.2-2)
[2023-08-05T04:08:15+0000] [ALPM] installed alsa-utils (1.2.9-1)
[2023-08-05T04:08:15+0000] [ALPM] installed amd-ucode (20230625.ee91452d-5)
[2023-08-05T04:08:15+0000] [ALPM] installed gmp (6.3.0-1)
